Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.440330982208252,6.455076781226995,6.391278499172716,6.422876697326148,493729600
2010-01-05,6.451466083526611,6.487879368872802,6.417459939457402,6.458086826968792,601904800
2010-01-06,6.348845958709717,6.4770447941915,6.342225216323105,6.451465054945159,552160000
2010-01-07,6.3371100425720215,6.379843531927759,6.291066984952576,6.372319959542432,477131200
2010-01-08,6.3792405128479,6.379842800362581,6.291368010013893,6.328683317594562,447610800
2010-01-11,6.3229660987854,6.409936173343546,6.273010388314571,6.403917316228298,462229600
2010-01-12,6.251041889190674,6.31273437428661,6.21192052125898,6.295279285939875,594459600
2010-01-13,6.339217662811279,6.347644065238641,6.142105257908541,6.255558336976202,605892000
2010-01-14,6.3025007247924805,6.33349743094724,6.290162471965369,6.322964834893772,432894000
2010-01-15,6.197173595428467,6.367804556471864,6.195367938527105,6.347641387739988,594067600
2010-01-19,6.4713263511657715,6.47584049361326,6.2365969707888,6.269398533862063,730007600
2010-01-20,6.37171745300293,6.486674406258934,6.304608403474319,6.467414465836276,612152800
2010-01-21,6.261572360992432,6.4192631578132895,6.235692086409981,6.382248402555982,608154400
2010-01-22,5.9510087966918945,6.244421252148021,5.933253971692852,6.22275417000318,881767600
2010-01-25,6.11110782623291,6.160159913204982,6.024438277446554,6.094255425129812,1065699600
2010-01-26,6.197474956512451,6.431302317713258,6.096360573968853,6.197775899349655,1867110000
2010-01-27,6.255858421325684,6.337110599470052,6.004576304881323,6.224861702167099,1722568400
2010-01-28,5.9973554611206055,6.184237040810026,5.979600628217852,6.167084093889945,1173502400
2010-01-29,5.7797770500183105,6.0849263149904775,5.725307591416028,6.051221514344954,1245952400
2010-02-01,5.860125541687012,5.898344477588977,5.756904561544345,5.7891046408340845,749876400
2010-02-02,5.894131660461426,5.907975031567911,5.819499842590746,5.895636776504988,698342400
2010-02-03,5.995548725128174,6.024739788245984,5.850798386666944,5.873368705165813,615328000
2010-02-04,5.779476642608643,5.96966773508442,5.765031383318195,5.920313902761244,757652000
2010-02-05,5.882094383239746,5.898345298354097,5.74336293336589,5.7969299610829745,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904062747955322,5.94348505576787,5.860727781315687,5.910984031684571,632886800
2010-02-10,5.87186336517334,5.916402513346541,5.845983078914016,5.895035165286074,370361600
2010-02-11,5.978695392608643,6.0111968229811845,5.839963934467913,5.864640849689512,550345600
2010-02-12,6.030157566070557,6.0680755776365105,5.883300607445092,5.961844715580544,655468800
2010-02-16,6.121038913726807,6.129765856250115,6.0644628525037625,6.0771020528240065,543737600
2010-02-17,6.095458984375,6.148423323825495,6.044600039695561,6.14481200928308,436396800
2010-02-18,6.106893062591553,6.13578317265521,6.046404758770525,6.067770896245389,422825200
2010-02-19,6.06897497177124,6.115018420716437,6.052122575252121,6.074693287277048,415469600
2010-02-22,6.031357765197754,6.093952666207925,5.994343003817547,6.089137982893924,390563600
2010-02-23,5.930245876312256,6.058745701453418,5.8896197840602325,6.01872109329924,575094800
2010-02-24,6.038582801818848,6.0620555459310665,5.953718103981422,5.9654548778304815,460566400
2010-02-25,6.078907489776611,6.104787775293293,5.925129285780472,5.939875085918058,665126000
2010-02-26,6.157751560211182,6.174303015148983,6.078906542567606,6.090341969061385,507460800
2010-03-01,6.2892632484436035,6.304610535250256,6.182731453506764,6.1917593401800275,550093600
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400
2010-03-03,6.299491882324219,6.3157427958339145,6.257662434350281,6.2877559150418,372052800
2010-03-04,6.34102201461792,6.347341815136955,6.2784271005699805,6.297988789683704,366041200
2010-03-05,6.588993072509766,6.611563384617907,6.45898857299002,6.468317801402433,899620400
2010-03-08,6.592904567718506,6.623298586880981,6.567926715680666,6.6208914461359,429889600
2010-03-09,6.711475372314453,6.771060462018715,6.5570952738175805,6.569734474392281,920259200
2010-03-10,6.766246795654297,6.785507146162071,6.716893754650231,6.735852760388295,596218000
2010-03-11,6.786105155944824,6.786105155944824,6.720501625696545,6.73825725328158,405700400
2010-03-12,6.819208145141602,6.853213477124388,6.793628408211384,6.842379536018168,416323600
2010-03-15,6.736151218414307,6.7861057251506125,6.6281147386043004,6.7824952143483666,493502800
2010-03-16,6.754508972167969,6.770458544717192,6.696127654389171,6.7463839153337695,446908000
2010-03-17,6.7445759773254395,6.814693643175027,6.718996642030547,6.76804871294782,450956800
2010-03-18,6.760525703430176,6.7710583002475655,6.699134574052002,6.743973446678471,342109600
2010-03-19,6.6883015632629395,6.778281463826486,6.657605795250324,6.764739437763981,559445600
2010-03-22,6.7635369300842285,6.801154390473503,6.625106411597116,6.634736584315758,456419600
2010-03-23,6.87217378616333,6.884813386537162,6.743974535986026,6.790318933770984,602431200
2010-03-24,6.90256929397583,6.927547152525729,6.846594718962101,6.850507378399074,597780400
2010-03-25,6.820713520050049,6.950718422822485,6.808675805834343,6.949213306752657,542284400
2010-03-26,6.948613166809082,6.980210965531149,6.8778927915812345,6.889930507429167,640875200
2010-03-29,6.993451118469238,7.037989860139587,6.970279722599785,7.011809035536611,540744400
2010-03-30,7.0975751876831055,7.146628475945356,7.049425129865078,7.120145502173249,527310000
2010-03-31,7.071993827819824,7.120445219239377,7.055743719396329,7.0867404275468315,430659600
2010-04-01,7.101185321807861,7.184243133164767,7.004284140098637,7.144520286281626,603145200
2010-04-05,7.177020072937012,7.177621958500866,7.065071768816743,7.071391969029977,684507600
2010-04-06,7.208621025085449,7.229686223136631,7.132183140602867,7.168295482680461,447017200
2010-04-07,7.2405195236206055,7.2802431767356675,7.182137413570325,7.208920925765114,628502000
2010-04-08,7.220959663391113,7.268808378547662,7.163480775548215,7.2357054635241695,572989200
2010-04-09,7.2763285636901855,7.279338795005412,7.23630438026321,7.2654954274487125,334182800
2010-04-12,7.291378021240234,7.314850761411634,7.276932763543518,7.2886691336292175,333026400
2010-04-13,7.295588970184326,7.306724255908901,7.255865322986309,7.278436435451623,306210800
2010-04-14,7.393696308135986,7.397307622619901,7.3449451697746895,7.3813580521088324,404076400
2010-04-15,7.490900039672852,7.494210010017059,7.388280512385666,7.396405569474833,376784800
2010-04-16,7.445154190063477,7.557704381642106,7.359387504734424,7.480363290763303,750545600
2010-04-19,7.435227394104004,7.4599039120426225,7.275730847374325,7.434023622322317,566924400
2010-04-20,7.360591411590576,7.500827538572539,7.311538941784699,7.479461002094893,738326400
2010-04-21,7.800862789154053,7.831859503404496,7.695835735020215,7.788223188437353,982391200
2010-04-22,8.01904296875,8.027469371139311,7.709981397308429,7.77137295398745,793424800
2010-04-23,8.150245666503906,8.190871732385059,8.034987405776521,8.064779532655187,796955600
2010-04-26,8.110222816467285,8.199299474342899,8.07079971153427,8.18184559556133,479068800
2010-04-27,7.885726451873779,8.060269305034447,7.839984741104637,8.04311596259957,709343600
2010-04-28,7.872483730316162,7.944707592343689,7.716298031555276,7.922138087476981,758402400
2010-04-29,8.084342956542969,8.125269572207047,7.8848222899416935,7.915216308874787,558840800
2010-04-30,7.8571391105651855,8.14242576695075,7.854431026073403,8.104507762550371,542463600
2010-05-03,8.015425682067871,8.061469516171659,7.9110005677889585,7.939891068743606,454342000
2010-05-04,7.784613132476807,7.923345007364694,7.726533157329553,7.911308094036193,723819600
2010-05-05,7.7036590576171875,7.768360560180566,7.48517938626697,7.6145823913937285,883103200
2010-05-06,7.410549163818359,7.771671775434678,5.996149388805389,7.638658238637402,1285860800
2010-05-07,7.097874641418457,7.420177590085968,6.777378153362654,7.334110349269063,1676018400
2010-05-10,7.643472671508789,7.663334901708025,7.479161875971379,7.530923248056316,984306400
2010-05-11,7.719610691070557,7.821025628010893,7.538447097149833,7.578771835473034,848906800
2010-05-12,7.887233257293701,7.91853052005455,7.785216411271793,7.801465723164547,654379600
2010-05-13,7.774982452392578,7.974803697985052,7.715998453037095,7.9212366703282555,599712400
2010-05-14,7.638355255126953,7.7184044357654455,7.508351174981439,7.678680788257514,759362800
2010-05-17,7.65039587020874,7.709379880019879,7.454486445433917,7.664841130632508,762834800
2010-05-18,7.594420909881592,7.780700132014683,7.5312237089608605,7.7334533054527785,782678400
2010-05-19,7.47344446182251,7.611273089169083,7.368418207233664,7.508353032987832,1025726800
2010-05-20,7.155052185058594,7.338321912611446,7.108406457414017,7.279036588603206,1282915200
2010-05-21,7.292281150817871,7.357885088111906,6.962153658917422,7.006391054623354,1223891200
2010-05-24,7.4258952140808105,7.550483139996555,7.41084887555626,7.441544241875465,754238800
2010-05-25,7.379554748535156,7.425898358688214,7.1370003401045885,7.20290484149147,1048006400
2010-05-26,7.3461480140686035,7.587499373167657,7.335314070799163,7.525807290484214,850654000
2010-05-27,7.624215126037598,7.640466045908279,7.49661852510073,7.541457820846373,666282400
2010-05-28,7.730444431304932,7.806280434982202,7.62421359650096,7.805979893874932,815614800
2010-06-01,7.849311351776123,8.003089504496641,7.793036254266036,7.815004676595477,876472800
2010-06-02,7.943207740783691,7.968786685459706,7.8342680030156915,7.9609621689723085,688548000
2010-06-03,7.918224334716797,7.991351409417327,7.836670059959295,7.980216126572905,650106800
2010-06-04,7.702759742736816,7.881515033053702,7.662735535870403,7.770469897344884,758304400
2010-06-07,7.551686763763428,7.798754805491856,7.539949591354,7.7728745251537745,886942000
2010-06-08,7.50323486328125,7.637753475095993,7.392490329594915,7.620900679202501,1000770400
2010-06-09,7.31876277923584,7.580578259281095,7.297397040464219,7.567637313847886,854630000
